material_id,category,name,catalogue_unit,proposed_price_ngn,low_ngn,high_ngn,price_basis,confidence,recommended_action,sources,notes
cmu6le7ug00bwrqc7k1wlfyla,Reinforcement & Structural Steel,Structural Steel I-Beam / Universal Beam,Length (6–12m) (Per length or tonne),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lfybe00dqrqc7qoy997w5,Roofing Materials,Aluzinc (Galvalume) Roofing Sheet,Length / m² (Cut to specified length),4300,3800,5000,"per m2, 0.4mm",Low,Verify with 2-3 supplier quotes before publishing,"GodsPromise Aluminium Roofing, Apr 2026, Lagos factory-gate (delivery extra) https://www.godspromisealuminiumroofing.com/blog/roofing-sheet-price-list-all-gauges-nigeria-2026","Single snippet ₦4,300/m2 for 0.4mm corrugated; not opened. Confirm."
cmu6lg1gc00dtrqc7n15epwr3,Roofing Materials,Galvanised Iron (GI) Roofing Sheet,Length / m² (Cut to specified length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lfn1800derqc703lzf8ve,Roofing Materials,Long-Span Aluminium Roofing Sheet,Length / m² (Cut to specified length),6200,5800,7500,"per m2, 0.55mm",Medium,Publish after one supplier check,"GodsPromise Aluminium Roofing, Apr 2026, Lagos factory-gate (delivery extra) https://www.godspromisealuminiumroofing.com/blog/roofing-sheet-price-list-all-gauges-nigeria-2026","Lagos factory-gate; a second 2026 snippet puts long-span at ₦6,000-7,500/m2. 0.45mm is ₦4,000-4,600. Catalogue does not say gauge - split by gauge."
cmu6lfsm200dkrqc7d0g3e4nf,Roofing Materials,Metcoppo Aluminium Roofing Sheet,Length / m² (Cut to specified length),7100,6800,7700,"per m2, 0.55mm",Medium,Publish after one supplier check,"GodsPromise Aluminium Roofing, Apr 2026, Lagos factory-gate (delivery extra) https://www.godspromisealuminiumroofing.com/blog/roofing-sheet-price-list-all-gauges-nigeria-2026","As above; 0.45mm ₦5,500-6,200."
cmu6lg91x00e2rqc70fxo2q50,Roofing Materials,Reflective Foil Roof Insulation,Roll (1.2m × various length rolls),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lg6iv00dzrqc7hj99zlqx,Roofing Materials,"Roof Truss Timber (2x2, 2x3, 2x4)",Length (Per piece / bundle),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lg44l00dwrqc7yvtl59np,Roofing Materials,Roofing Nails / Screws with Rubber Washer,Box (Box of 100–250),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lfpz300dhrqc7giszpo0x,Roofing Materials,Step-Tile Aluminium Roofing Sheet,Length / m² (Cut to specified length),6900,6500,7900,"per m2, 0.55mm",Medium,Publish after one supplier check,"GodsPromise Aluminium Roofing, Apr 2026, Lagos factory-gate (delivery extra) https://www.godspromisealuminiumroofing.com/blog/roofing-sheet-price-list-all-gauges-nigeria-2026","As above; 0.45mm ₦5,200-5,800."
cmu6lfvd000dnrqc79g97fccg,Roofing Materials,Stone-Coated Steel Roofing Tile,m² / Sheet (Sheet),15500,13200,18100,"per m2 (₦4,750-6,500 per piece by profile)",Medium,Publish after one supplier check,"GodsPromise Aluminium Roofing, Apr 2026, Lagos factory-gate (delivery extra) https://www.godspromisealuminiumroofing.com/blog/roofing-sheet-price-list-all-gauges-nigeria-2026",Profile-dependent (Shingle < Classic < Roman).
cmu6lkumg00jerqc7jo1a9837,Sanitary Ware & Fittings,Bathtub / Shower Cubicle,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkx0000jhrqc7yst1gmf1,Sanitary Ware & Fittings,Kitchen Sink (Stainless Steel),Piece (Per unit),57500,55000,60000,per dual-bowl unit,Low,Verify with 2-3 supplier quotes before publishing,"Jumia live listings, accessed 25 Sep 2026 (national retail, not Lagos/Abuja specific) https://www.jumia.com.ng/","Jumia dual-bowl listings ₦55,000-60,000."
cmu6lkzey00jkrqc7d1kjk9ut,Sanitary Ware & Fittings,Mixer Tap / Faucet,Piece (Per unit),21000,20000,22500,per tap,Low,Verify with 2-3 supplier quotes before publishing,"Jumia live listings, accessed 25 Sep 2026 (national retail, not Lagos/Abuja specific) https://www.jumia.com.ng/","Jumia stainless mixers ₦20,000-22,500; cheaper and premium ranges exist."
cmu6ll1sx00jnrqc77dlmhre6,Sanitary Ware & Fittings,"Shower Set (Head, Mixer, Rail)",Set (Per set),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ll4h600jqrqc75gdrp5kv,Sanitary Ware & Fittings,Urinal / Bidet (Commercial),Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lks2p00jbrqc7lax1yg8b,Sanitary Ware & Fittings,Wash Hand Basin,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkppo00j8rqc78novgkzi,Sanitary Ware & Fittings,Water Closet (WC) Suite,Set (Per set),140000,62000,320000,per set,Low,Verify with 2-3 supplier quotes before publishing,"Jiji / TilesNg vendor listings for WC sets ₦62,000-₦320,000 (undated)",Very wide by brand; choose 2-3 representative sets.
cmu6lm4nr00kwrqc79h5cz04m,"Scaffolding, Formwork & Site Equipment",Concrete Mixer (Site Equipment),Piece (Per unit (purchase or rental)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lm7kx00kzrqc7b1opnjx9,"Scaffolding, Formwork & Site Equipment",Concrete Poker Vibrator,Piece (Per unit (purchase or rental)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llzne00kqrqc702963h37,"Scaffolding, Formwork & Site Equipment",Scaffolding Frame / Tube & Coupler System,Set / Length (Rental per day or purchase),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lmcfw00l5rqc75zyuppf2,"Scaffolding, Formwork & Site Equipment","Site Safety PPE (Helmets, Boots, Harnesses)",Set / Piece (Per worker set),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lm1z300ktrqc77dupxlph,"Scaffolding, Formwork & Site Equipment",Steel Formwork Panel,Panel / m² (Rental per project),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lm9ym00l2rqc7kfrb4zxu,"Scaffolding, Formwork & Site Equipment",Tower Crane / Material Hoist (Rental),Unit (Rental per project duration),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lgbbx00e5rqc7gjjjv2uu,Tiles & Flooring,Ceramic Floor Tile 300x300mm,m² / Carton (~1–1.5 m² per carton),6000,4500,8000,per carton (~1.2-1.6 m2),Low,Verify with 2-3 supplier quotes before publishing,Prioni tiles guide 2026 (year only) https://www.prioni.com.ng/tiles-price-in-nigeria/,Year-only source; wide brand spread.
cmu6lge8e00e8rqc7tk2aksns,Tiles & Flooring,Ceramic Floor Tile 600x600mm,m² / Carton (~1.4–1.8 m² per carton),12000,8000,18000,per carton (~1.4-1.8 m2),Low,Verify with 2-3 supplier quotes before publishing,Prioni tiles guide 2026 (year only) https://www.prioni.com.ng/tiles-price-in-nigeria/,As above.
cmu6lgjst00eerqc7ilmejdgp,Tiles & Flooring,Ceramic Wall Tile 250x400mm,m² / Carton (~1.5 m² per carton),8000,5000,12000,per carton (~1.5 m2),Low,Verify with 2-3 supplier quotes before publishing,Prioni tiles guide 2026 (year only) https://www.prioni.com.ng/tiles-price-in-nigeria/,As above.
cmu6lgshy00enrqc7iqs8ubxc,Tiles & Flooring,Marble Tile / Slab,m² / Slab (Slab (varies)),30000,20000,45000,per carton of 60x60 tiles,Low,Verify with 2-3 supplier quotes before publishing,Prioni tiles guide 2026 (year only) https://www.prioni.com.ng/tiles-price-in-nigeria/,Source prices cartons of tiles; catalogue says slab per m2 - unit mismatch.
cmu6lgpl700ekrqc78ahrgi9q,Tiles & Flooring,Natural Granite Slab,m² / Slab (Slab (varies)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lgh2n00ebrqc72hj2dldm,Tiles & Flooring,Porcelain Floor Tile 600x600mm,m² / Carton (~1.4–1.8 m² per carton),17000,12000,25000,per carton (~1.4-1.8 m2),Low,Verify with 2-3 supplier quotes before publishing,Prioni tiles guide 2026 (year only) https://www.prioni.com.ng/tiles-price-in-nigeria/,As above.
cmu6lgvp700eqrqc74tlzogx2,Tiles & Flooring,PVC Vinyl Flooring,m² / Roll (Roll),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lgmov00ehrqc7ycxc32is,Tiles & Flooring,Terrazzo (In-situ / Tiles),m²,,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lgyh800etrqc7n02nzuxn,Tiles & Flooring,Tile Trim / Edge Beading,Length (2.5m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ljwj300i8rqc7kuelo0j2,"Wood, Timber & Boards",Formwork / Shuttering Plywood,Sheet (Per sheet),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ljrl600i2rqc75y2xbld0,"Wood, Timber & Boards",MDF Board,Sheet (Per sheet),22500,20000,28000,per 8x4 sheet,Low,Verify with 2-3 supplier quotes before publishing,"Titanium Building Solutions, Lekki Lagos vendor page (undated) https://titaniumbuildingsolutions.com/product/mdf-medium-density-fibreboard/","Single Lagos vendor, undated. Thickness not stated."
cmu6ljyxd00ibrqc7f0foh7ep,"Wood, Timber & Boards",Particle Board / Chipboard,Sheet (Per sheet),28000,22000,32000,per 8x4 sheet,Low,Verify with 2-3 supplier quotes before publishing,"Titanium Building Solutions, Lekki Lagos vendor page (undated) https://titaniumbuildingsolutions.com/product/mdf-medium-density-fibreboard/","Same vendor; priced above MDF - likely a different grade, verify."
cmu6ljovq00hzrqc7wczdzczh,"Wood, Timber & Boards",Plywood (Marine / Ordinary) 4x8ft,Sheet (Per sheet),41000,30000,45000,per 4x8 sheet (18mm marine),Low,Verify with 2-3 supplier quotes before publishing,"Titanium Building Solutions, Lekki Lagos vendor page (undated) https://titaniumbuildingsolutions.com/product/mdf-medium-density-fibreboard/",Ordinary plywood will be cheaper; split marine vs ordinary.
cmu6lju5i00i5rqc7qq5jv7nx,"Wood, Timber & Boards","Sawn Timber (2x2"", 2x3"", 2x4"", 2x6"", 2x12"")",Length / Piece (Per piece),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
