material_id,supplier_group,category,item,catalogue_description,quote_this_exact_spec,quote_per,reference_estimate_ngn,reference_low_ngn,reference_high_ngn,reference_note,quote_1_ngn,quote_1_city,quote_1_supplier,quote_2_ngn,quote_2_city,quote_2_supplier,quote_3_ngn,quote_3_city,quote_3_supplier,quote_date,final_catalogue_price_ngn,notes
cmu6ldxec00bkrqc7tmqhh7ue,Steel & reinforcement,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 25mm,Nominal dia. 25mm; Grade 460 · BS 4449,"25mm high-tensile (Y25) rebar, 12m length, state mill/brand",per 12m length,48000,36000,60000,"₦36,000-60,000 (Feb-Mar 2026; sources disagree).",,,,,,,,,,,,
cmu6le08r00bnrqc7m89ja5hu,Steel & reinforcement,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 32mm,Nominal dia. 32mm; Grade 460 · BS 4449,"32mm high-tensile (Y32) rebar, 12m length",per 12m length,80000,70000,90000,"Derived ≈₦70,000-90,000 (bar weight 75.8kg x ₦1.0-1.1M/tonne).",,,,,,,,,,,,
cmu6leg8f00c5rqc7wln07glx,Steel & reinforcement,Reinforcement & Structural Steel,Square / Rectangular Hollow Section (Tubing),"20×20mm to 100×100mm, various wall thickness · BS EN 10219","Mild steel square tube 50x50x2mm, 6m length",per 6m length,,,,No public quote.,,,,,,,,,,,,
cmu6ledhy00c2rqc7t19r13kl,Steel & reinforcement,Reinforcement & Structural Steel,Steel Channel / C-Purlin,"100–250mm depth, various gauges · BS EN 10162","C-purlin 100x50x2mm, 6m length",per 6m length,,,,No public quote.,,,,,,,,,,,,
cmu6le7ug00bwrqc7k1wlfyla,Steel & reinforcement,Reinforcement & Structural Steel,Structural Steel I-Beam / Universal Beam,"Depths 150–600mm, various flange widths · BS EN 10025","I-beam IPE 200 (or UB 203x133), 6m length",per 6m length (also ask per tonne),,,,No public quote.,,,,,,,,,,,,
cmu6lgbbx00e5rqc7gjjjv2uu,Tiles & flooring,Tiles & Flooring,Ceramic Floor Tile 300x300mm,"300 × 300mm, glazed ceramic","Ceramic floor tile 300x300mm, 1st grade, carton (state m² per carton)",per carton,6000,4500,8000,"₦4,500-8,000/carton (Prioni 2026).",,,,,,,,,,,,
cmu6lge8e00e8rqc7tk2aksns,Tiles & flooring,Tiles & Flooring,Ceramic Floor Tile 600x600mm,"600 × 600mm, glazed ceramic","Ceramic floor tile 600x600mm, 1st grade, carton",per carton,12000,8000,18000,"₦8,000-18,000/carton (Prioni 2026).",,,,,,,,,,,,
cmu6lgjst00eerqc7ilmejdgp,Tiles & flooring,Tiles & Flooring,Ceramic Wall Tile 250x400mm,"250 × 400mm, glazed ceramic","Ceramic wall tile 250x400mm, carton",per carton,8000,5000,12000,"₦5,000-12,000/carton (Prioni 2026).",,,,,,,,,,,,
cmu6lgshy00enrqc7iqs8ubxc,Tiles & flooring,Tiles & Flooring,Marble Tile / Slab,"Various thicknesses, polished finish","Marble tile 600x600mm, per m² (state origin)",per m²,30000,20000,45000,"₦20,000-45,000/carton of 60x60 (Prioni 2026) - unit mismatch.",,,,,,,,,,,,
cmu6lgpl700ekrqc78ahrgi9q,Tiles & flooring,Tiles & Flooring,Natural Granite Slab,"20–30mm thickness, polished/honed finish","Polished granite slab 20mm, state colour",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lgvp700eqrqc74tlzogx2,Tiles & flooring,Tiles & Flooring,PVC Vinyl Flooring,"Roll or plank vinyl, 2–5mm thickness","PVC vinyl flooring 2mm, 2m-wide roll",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lgh2n00ebrqc72hj2dldm,Tiles & flooring,Tiles & Flooring,Porcelain Floor Tile 600x600mm,"600 × 600mm, vitrified porcelain","Porcelain tile 600x600mm, polished, carton",per carton,17000,12000,25000,"₦12,000-25,000/carton (Prioni 2026).",,,,,,,,,,,,
cmu6lgmov00ehrqc7ycxc32is,Tiles & flooring,Tiles & Flooring,Terrazzo (In-situ / Tiles),Marble-chip aggregate in cement or resin binder,Terrazzo tile 300x300mm (also ask in-situ per m²),per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lgyh800etrqc7n02nzuxn,Tiles & flooring,Tiles & Flooring,Tile Trim / Edge Beading,"Various profiles, 2.5m lengths",Aluminium/PVC tile edge trim 2.5m,per 2.5m length,,,,No public quote.,,,,,,,,,,,,
cmu6lg6iv00dzrqc7hj99zlqx,Timber & boards,Roofing Materials,"Roof Truss Timber (2x2, 2x3, 2x4)","Standard sawn sections, various species","Hardwood 2x4 inch, 12ft length (treated)",per 2x4x12ft piece,,,,"2x6x12 mahogany ₦8,000, pine ₦4,500 (BestSales, 26 Mar 2026; page blocked).",,,,,,,,,,,,
cmu6ljwj300i8rqc7kuelo0j2,Timber & boards,"Wood, Timber & Boards",Formwork / Shuttering Plywood,"Film-faced shuttering ply, 18–25mm","18mm shuttering plywood 4x8ft (film-faced or plain, state)",per sheet,,,,No public quote.,,,,,,,,,,,,
cmu6ljrl600i2rqc75y2xbld0,Timber & boards,"Wood, Timber & Boards",MDF Board,"4ft x 8ft sheet, various thickness",18mm MDF 4x8ft,per sheet,22500,20000,28000,"₦22,500 per 8x4 sheet (single Lekki vendor, undated).",,,,,,,,,,,,
cmu6ljyxd00ibrqc7f0foh7ep,Timber & boards,"Wood, Timber & Boards",Particle Board / Chipboard,"4ft x 8ft sheet, various thickness",18mm particle board 4x8ft,per sheet,28000,22000,32000,"₦28,000 per 8x4 sheet (same vendor; priced above MDF - verify).",,,,,,,,,,,,
cmu6ljovq00hzrqc7wczdzczh,Timber & boards,"Wood, Timber & Boards",Plywood (Marine / Ordinary) 4x8ft,4ft x 8ft sheet; 4mm–25mm thickness,18mm marine plywood 4x8ft (also ask 12mm ordinary),per sheet,41000,30000,45000,"₦41,000 for 18mm marine 8x4 (single Lekki vendor, undated).",,,,,,,,,,,,
cmu6lju5i00i5rqc7qq5jv7nx,Timber & boards,"Wood, Timber & Boards","Sawn Timber (2x2"", 2x3"", 2x4"", 2x6"", 2x12"")","Standard sawn sections, various hardwood/softwood species",Hardwood (mahogany) 2x4 inch x 12ft (also ask 2x6 and 2x2),per 2x4x12ft piece,,,,"2x6x12 mahogany ₦8,000, pine ₦4,500 (BestSales, 26 Mar 2026; page blocked).",,,,,,,,,,,,
